Interval,car3P1S4->seats3P1S4,traindoor6P1S4->P1S4,traindoor5P1S4->P1S4,traindoor6P2S4->P2S4,car3P2S4->traindoor6P2S4,P1S4->traindoor2P1S4,traindoor2P1S4->car1P1S4,traindoor5P1S4->car3P1S4,traindoor2P2S4->P2S4,P2S4->traindoor2P2S4,car2P1S4->seats2P1S4,P2S4->traindoor4P2S4,traindoor3P2S4->P2S4,car1P2S4->traindoor2P2S4,traindoor6P1S4->car3P1S4,P2S4->traindoor3P2S4,traindoor4P1S4->P1S4,P1S4->traindoor4P1S4,traindoor3P1S4->P1S4,P1S4->traindoor3P1S4,traindoor3P1S4->car2P1S4,traindoor4P2S4->P2S4,car3P2S4->traindoor5P2S4,car2P1S4->traindoor3P1S4,P2S4->wait1P2S4,traindoor2P2S4->car1P2S4,P2S4->wait2P2S4,car1P1S4->traindoor2P1S4,car2P2S4->traindoor3P2S4,P1S4->wait2P1S4,car3P1S4->traindoor6P1S4,P1S4->wait3P1S4,traindoor6P2S4->car3P2S4,P1S4->stairs1S4,car2P2S4->seats2P2S4,car3P1S4->traindoor5P1S4,stairs1S4->P1S4,stairs1S4->concourseS4,concourseS4->stairs1S4,P1S4->wait1P1S4,P2S4->stairs2S4,P2S4->wait3P2S4,concourseS4->stairs2S4,concourseS4->escal3S4,P2S4->escal4S4,car2P1S4->traindoor4P1S4,P1S4->escal2S4,car3P2S4->seats3P2S4,car1P1S4->seats1P1S4,traindoor4P2S4->car2P2S4,P2S4->traindoor5P2S4,escal3S4->P2S4,concourseS4->escal1S4,traindoor1P1S4->P1S4,traindoor4P1S4->car2P1S4,traindoor5P2S4->car3P2S4,traindoor1P1S4->car1P1S4,stairs2S4->P2S4,car1P1S4->traindoor1P1S4,escal2S4->concourseS4,traindoor2P1S4->P1S4,car1P2S4->seats1P2S4,car2P2S4->traindoor4P2S4,traindoor3P2S4->car2P2S4,concourseS4->gate1S4,P1S4->traindoor5P1S4,escal1S4->P1S4,concourseS4->gate2S4,P2S4->traindoor6P2S4,stairs2S4->concourseS4,traindoor1P2S4->P2S4,P2S4->traindoor1P2S4,traindoor1P2S4->car1P2S4,car1P2S4->traindoor1P2S4,P1S4->traindoor6P1S4,P1S4->traindoor1P1S4,escal4S4->concourseS4,traindoor5P2S4->P2S4
03:03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,7,0,1,0,0,0,0,10,0,12,5,0,10,36,4,23,0,0,0,0,0,0,4,5,0,0,0,0,31,0,0,0,0,0,0,12,0,3,6,0,1,0,0,0,0,0,0,24,0
03:04:00,0,0,0,0,0,0,0,0,2,62,0,43,45,0,0,2,0,0,0,0,0,0,50,0,37,60,9,0,45,8,0,2,28,0,40,0,7,0,5,4,33,0,30,3,23,0,0,28,0,43,0,4,2,0,0,0,0,37,0,0,0,60,0,2,6,0,3,9,28,25,55,5,5,55,0,0,20,50
03:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,33,0,0,7,0,3,0,0,0,0,23,0,27,6,37,17,36,4,29,0,0,0,0,0,0,3,7,0,0,0,0,34,0,0,0,0,0,0,11,0,6,16,0,40,0,0,0,0,0,0,30,0
03:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,16,0,0,9,0,4,0,0,0,0,16,0,14,16,2,11,47,3,28,0,0,0,0,0,0,3,7,0,0,0,0,42,0,0,0,0,0,0,18,0,9,11,0,7,0,0,0,0,0,0,28,0
03:07:00,0,0,0,4,2,0,0,0,2,49,0,54,50,0,0,0,0,0,0,0,0,0,51,0,26,46,7,0,50,5,0,0,18,0,46,0,13,0,14,5,34,7,28,2,22,0,0,17,0,53,0,2,5,0,0,0,0,35,0,0,0,43,0,0,4,0,4,7,20,26,46,0,0,47,0,0,22,51
03:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,33,0,0,16,0,3,0,0,0,0,39,0,43,8,26,18,23,0,35,0,0,0,0,0,0,1,12,0,0,0,0,22,0,0,0,0,0,0,13,0,12,24,0,34,0,0,0,0,0,0,35,0
03:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,13,0,17,0,0,0,0,34,0,29,20,3,9,15,3,25,0,0,0,0,0,0,1,9,0,0,0,0,16,0,0,0,0,0,0,9,0,9,9,0,3,0,0,0,0,0,0,26,0
03:10:00,0,0,0,0,0,0,0,0,2,48,0,46,49,0,0,0,0,0,0,0,0,2,45,0,10,45,5,0,49,14,0,11,30,0,39,0,25,0,26,9,48,3,6,1,19,0,0,30,0,43,0,2,13,0,0,0,0,8,0,0,0,40,0,0,6,0,13,10,30,30,56,0,0,56,0,0,19,45
03:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,12,0,9,0,0,0,0,64,0,72,24,30,4,1,2,31,0,0,0,0,0,0,3,13,0,0,0,0,1,0,0,0,0,0,0,20,0,13,21,0,48,0,0,0,0,0,0,30,0
03:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,22,0,13,0,0,0,0,40,0,32,28,0,3,5,1,24,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,14,0,13,7,0,0,0,0,0,0,0,0,26,0
03:13:00,58,1,59,0,0,75,71,0,0,0,23,0,0,0,63,0,0,23,37,3,2,0,0,36,2,0,1,0,0,21,0,5,0,6,0,59,29,6,28,35,0,1,1,4,14,0,22,0,61,0,0,3,10,41,23,0,0,1,39,19,1,0,0,0,8,0,12,8,0,0,0,0,0,0,64,3,15,0
03:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,70,0,34,0,29,0,0,31,29,31,64,0,2,13,5,1,0,34,0,0,0,0,4,16,0,0,0,0,12,0,31,0,0,0,0,18,0,15,10,0,0,0,0,0,0,0,0,3,0
03:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,15,0,20,0,0,0,0,22,0,26,35,0,4,25,10,0,0,23,0,0,0,0,13,14,0,0,0,0,27,0,27,0,0,0,0,13,0,13,9,0,0,0,0,0,0,0,0,0,0
03:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,12,0,6,0,0,0,0,25,0,22,13,0,5,9,7,0,0,11,0,0,0,0,5,14,0,0,0,0,8,0,10,0,0,0,0,5,0,14,7,0,0,0,0,0,0,0,0,0,0
03:17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,13,0,7,0,0,0,0,15,0,14,17,0,4,0,8,0,0,5,0,0,0,0,7,9,0,0,0,0,1,0,8,0,0,0,0,4,0,10,2,0,0,0,0,0,0,0,0,0,0
03:18:00,53,1,35,0,0,49,46,0,0,0,65,0,0,0,58,0,1,73,52,0,0,0,0,52,3,0,3,0,0,16,0,3,0,5,0,35,19,4,19,34,0,0,3,6,0,0,28,0,44,0,0,6,13,48,72,0,3,2,47,22,2,0,0,0,4,0,13,4,0,0,0,0,0,0,59,4,0,0
03:19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,60,0,42,0,35,0,0,22,32,21,67,0,1,30,5,0,0,24,0,0,0,0,8,10,0,0,0,0,29,0,26,0,0,0,0,14,0,11,7,0,0,0,0,0,0,0,0,0,0
03:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,15,0,11,0,1,0,0,26,5,29,16,0,6,8,3,0,0,22,0,0,0,0,3,13,0,0,0,0,10,0,22,0,0,0,0,17,0,11,9,0,0,0,0,0,0,0,0,0,0
03:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,13,0,12,0,0,0,0,21,0,17,17,0,4,10,8,0,0,12,0,0,0,0,6,11,0,0,0,0,9,0,16,0,0,0,0,5,0,13,4,0,0,0,0,0,0,0,0,0,0
03:22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,14,0,15,0,0,0,0,16,0,17,13,0,2,0,6,0,0,6,0,0,0,0,8,12,0,0,0,0,1,0,5,0,0,0,0,2,0,10,5,0,0,0,0,0,0,0,0,0,0
03:23:00,55,0,38,0,0,66,64,1,0,0,45,0,0,0,65,0,0,67,53,0,0,0,0,53,2,0,0,0,0,24,0,3,0,7,0,38,15,5,16,35,0,4,2,10,0,0,26,0,61,0,0,10,15,43,57,0,6,2,43,20,1,0,0,0,5,1,15,2,0,0,0,0,0,0,69,8,0,0
03:24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,55,0,29,0,40,0,0,18,41,19,58,0,1,24,7,0,0,25,0,0,0,0,7,7,0,0,0,0,20,0,28,0,0,0,0,19,0,8,13,0,0,0,0,0,0,0,0,0,0
03:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,12,0,11,0,0,0,0,29,1,27,15,0,7,18,4,0,0,25,0,0,0,0,3,15,0,0,0,0,21,0,27,0,0,0,0,6,0,15,8,0,0,0,0,0,0,0,0,0,0
03:26:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,15,0,8,0,0,0,0,17,0,17,10,0,4,2,14,0,0,11,0,0,0,0,13,16,0,0,0,0,3,0,11,0,0,0,0,2,0,15,5,0,0,0,0,0,0,0,0,0,0
03:27:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,9,0,7,0,0,0,0,11,0,10,15,0,3,0,9,0,0,4,0,0,0,0,11,7,0,0,0,0,0,0,6,0,0,0,0,5,0,8,1,0,0,0,0,0,0,0,0,0,0
03:28:00,41,2,44,0,0,67,62,0,0,0,61,0,0,0,48,0,4,69,42,1,0,0,0,41,0,0,4,0,0,20,0,6,0,23,0,44,3,11,3,31,0,3,7,2,0,0,22,0,57,0,0,1,5,49,65,0,1,6,49,17,4,0,0,0,4,0,7,5,0,0,0,0,0,0,50,2,0,0
03:29:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,38,0,14,0,24,0,0,0,36,0,34,0,6,20,17,0,0,34,0,0,0,0,18,1,0,0,0,0,21,0,35,0,0,0,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0
